latitude,longitude,country,day,dayNumber,popup
62.8638,12.854,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/12.854"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,12.854"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.5mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,12.8979,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/12.8979"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,12.8979"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.5mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,12.9419,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/12.9419"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,12.9419"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.5mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.1177,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.1177"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.1177"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;0C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.9mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.2495,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.2495"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.2495"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;1.8mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.2935,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.2935"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.2935"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;1.1mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.3374,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.3374"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.3374"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;0.7mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.3813,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.3813"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.3813"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;1.3mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.4253,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.4253"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.4253"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,13.4692,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/13.4692"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,13.4692"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.2mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
